Instancia;Run;Tempo(s);CustoFinal;Target;AtingiuTarget?
Instance_S_104_03.txt;3;9.98;26818.00;19805;Nao
Instance_S_104_04.txt;1;9.99;26524.00;19876;Nao
Instance_S_104_04.txt;2;9.98;26515.00;19876;Nao
Instance_S_104_04.txt;3;10.00;26893.00;19876;Nao
Instance_S_104_05.txt;1;9.98;29679.00;21711;Nao
Instance_S_104_05.txt;2;9.99;29418.00;21711;Nao
Instance_S_104_05.txt;3;9.99;29885.00;21711;Nao
Instance_S_10_01.txt;1;0.303636;6705;6705;Sim
Instance_S_10_01.txt;2;0.052646;6705;6705;Sim
Instance_S_10_01.txt;3;1.0009;6705;6705;Sim
Instance_S_10_02.txt;1;0.234379;8549;8549;Sim
Instance_S_10_02.txt;2;0.149056;8549;8549;Sim
Instance_S_10_02.txt;3;0.234945;8549;8549;Sim
Instance_S_10_03.txt;1;0.848522;8233;8233;Sim
Instance_S_10_03.txt;2;0.032971;8233;8233;Sim
Instance_S_10_03.txt;3;0.685869;8233;8233;Sim
Instance_S_10_04.txt;1;0.091226;6862;6862;Sim
Instance_S_10_04.txt;2;0.176774;6862;6862;Sim
Instance_S_10_04.txt;3;0.052956;6862;6862;Sim
Instance_S_10_05.txt;1;1.02103;5829;5829;Sim
Instance_S_10_05.txt;2;1.05833;5829;5829;Sim
Instance_S_10_05.txt;3;0.090957;5829;5829;Sim
Instance_S_12_01.txt;1;0.075838;7785;7785;Sim
Instance_S_12_01.txt;2;0.106373;7785;7785;Sim
Instance_S_12_01.txt;3;0.097739;7785;7785;Sim
Instance_S_12_02.txt;1;10.00;9259.00;9045;Nao
Instance_S_12_02.txt;2;10.00;9327.00;9045;Nao
Instance_S_12_02.txt;3;10.00;9259.00;9045;Nao
Instance_S_12_03.txt;1;0.510655;7831;7831;Sim
Instance_S_12_03.txt;2;0.153556;7831;7831;Sim
Instance_S_12_03.txt;3;0.112964;7831;7831;Sim
Instance_S_12_04.txt;1;0.140733;7301;7301;Sim
Instance_S_12_04.txt;2;0.089264;7301;7301;Sim
Instance_S_12_04.txt;3;0.09688;7301;7301;Sim
Instance_S_12_05.txt;1;4.02661;9089;9089;Sim
Instance_S_12_05.txt;2;2.60946;9089;9089;Sim
Instance_S_12_05.txt;3;2.13641;9089;9089;Sim
Instance_S_14_01.txt;1;9.99;7604.00;7529;Nao
Instance_S_14_01.txt;2;9.99;7604.00;7529;Nao
Instance_S_14_01.txt;3;9.98;7604.00;7529;Nao
Instance_S_14_02.txt;1;3.66515;6885;6885;Sim
Instance_S_14_02.txt;2;0.137359;6885;6885;Sim
Instance_S_14_02.txt;3;0.126436;6885;6885;Sim
Instance_S_14_03.txt;1;1.50515;8928;8928;Sim
Instance_S_14_03.txt;2;1.70906;8928;8928;Sim
Instance_S_14_03.txt;3;1.89267;8928;8928;Sim
Instance_S_14_04.txt;1;0.55656;11159;11159;Sim
Instance_S_14_04.txt;2;2.17744;11159;11159;Sim
Instance_S_14_04.txt;3;4.21406;11159;11159;Sim
Instance_S_14_05.txt;1;10.00;10378.00;10153;Nao
Instance_S_14_05.txt;2;9.99;10378.00;10153;Nao
Instance_S_14_05.txt;3;9.99;10378.00;10153;Nao
Instance_S_20_01.txt;1;10.00;11719.00;11294;Nao
